exp_name,srx,srr
jurkat_mRNA_28_2_L002,SRX24258039,SRR28689828
jurkat_sgRNA_28_2_L002,SRX24258040,SRR28689827
jurkat_mRNA_28_2_L003,SRX24258041,SRR28689826
jurkat_sgRNA_28_2_L003,SRX24258042,SRR28689825
jurkat_mRNA_28_2_L004,SRX24258043,SRR28689824
jurkat_sgRNA_28_2_L004,SRX24258044,SRR28689823
jurkat_mRNA_5_3_L001,SRX24258045,SRR28689822
jurkat_sgRNA_5_3_L001,SRX24258046,SRR28689821
jurkat_mRNA_5_3_L002,SRX24258047,SRR28689820
jurkat_sgRNA_5_3_L002,SRX24258048,SRR28689819
jurkat_mRNA_5_3_L003,SRX24258049,SRR28689818
jurkat_sgRNA_5_3_L003,SRX24258050,SRR28689817
jurkat_sgRNA_1_2_L004,SRX24258051,SRR28689816
jurkat_mRNA_5_3_L004,SRX24258052,SRR28689815
jurkat_sgRNA_5_3_L004,SRX24258053,SRR28689814
jurkat_mRNA_5_4_L001,SRX24258054,SRR28689813
jurkat_sgRNA_5_4_L001,SRX24258055,SRR28689812
jurkat_mRNA_5_4_L002,SRX24258056,SRR28689811
jurkat_sgRNA_5_4_L002,SRX24258057,SRR28689810
jurkat_mRNA_5_4_L003,SRX24258058,SRR28689809
jurkat_sgRNA_5_4_L003,SRX24258059,SRR28689808
jurkat_mRNA_5_4_L004,SRX24258060,SRR28689807
jurkat_sgRNA_5_4_L004,SRX24258061,SRR28689806
jurkat_mRNA_1_3_L001,SRX24258062,SRR28689805
jurkat_mRNA_6_1_L001,SRX24258063,SRR28689804
jurkat_sgRNA_6_1_L001,SRX24258064,SRR28689803
jurkat_mRNA_6_1_L002,SRX24258065,SRR28689802
jurkat_sgRNA_6_1_L002,SRX24258066,SRR28689801
jurkat_mRNA_6_1_L003,SRX24258067,SRR28689800
jurkat_sgRNA_6_1_L003,SRX24258068,SRR28689799
jurkat_sgRNA_7_3_L001,SRX24258069,SRR28689798
jurkat_sgRNA_1_3_L003,SRX24258070,SRR28689797
jurkat_mRNA_7_3_L002,SRX24258071,SRR28689796
jurkat_sgRNA_7_3_L002,SRX24258072,SRR28689795
jurkat_mRNA_7_3_L003,SRX24258073,SRR28689794
jurkat_sgRNA_7_3_L003,SRX24258074,SRR28689793
jurkat_mRNA_7_3_L004,SRX24258075,SRR28689792
jurkat_sgRNA_7_3_L004,SRX24258076,SRR28689791
jurkat_mRNA_7_4_L001,SRX24258077,SRR28689790
jurkat_sgRNA_7_4_L001,SRX24258078,SRR28689789
jurkat_mRNA_7_4_L002,SRX24258079,SRR28689788
jurkat_sgRNA_7_4_L002,SRX24258080,SRR28689787
jurkat_mRNA_1_3_L004,SRX24258081,SRR28689786
jurkat_mRNA_7_4_L003,SRX24258082,SRR28689785
jurkat_sgRNA_7_4_L003,SRX24258083,SRR28689784
jurkat_mRNA_7_4_L004,SRX24258084,SRR28689783
jurkat_sgRNA_7_4_L004,SRX24258085,SRR28689782
jurkat_mRNA_8_1_L001,SRX24258086,SRR28689781
jurkat_sgRNA_8_1_L001,SRX24258087,SRR28689780
jurkat_mRNA_8_1_L002,SRX24258088,SRR28689779
jurkat_sgRNA_8_1_L002,SRX24258089,SRR28689778
jurkat_mRNA_8_1_L003,SRX24258090,SRR28689777
jurkat_sgRNA_8_1_L003,SRX24258091,SRR28689776
jurkat_sgRNA_1_3_L004,SRX24258092,SRR28689775
jurkat_mRNA_8_4_L003,SRX24258093,SRR28689774
jurkat_sgRNA_8_4_L003,SRX24258094,SRR28689773
jurkat_mRNA_8_4_L004,SRX24258095,SRR28689772
jurkat_mRNA_1_1_L001,SRX24258096,SRR28690281
jurkat_sgRNA_1_1_L001,SRX24258097,SRR28690280
jurkat_mRNA_1_2_L002,SRX24258098,SRR28690279
jurkat_mRNA_4_4_L002,SRX24258099,SRR28690278
jurkat_sgRNA_4_4_L002,SRX24258100,SRR28690277
jurkat_mRNA_4_4_L003,SRX24258101,SRR28690276
jurkat_sgRNA_4_4_L003,SRX24258102,SRR28690275
jurkat_mRNA_4_4_L004,SRX24258103,SRR28690274
jurkat_sgRNA_4_4_L004,SRX24258104,SRR28690273
jurkat_mRNA_5_1_L001,SRX24258105,SRR28690272
jurkat_sgRNA_5_1_L001,SRX24258106,SRR28690271
jurkat_sgRNA_1_2_L003,SRX24258107,SRR28690270
jurkat_mRNA_5_1_L002,SRX24258108,SRR28690269
jurkat_sgRNA_5_1_L002,SRX24258109,SRR28690268
jurkat_mRNA_5_1_L003,SRX24258110,SRR28690267
jurkat_sgRNA_5_1_L003,SRX24258111,SRR28690266
jurkat_mRNA_5_1_L004,SRX24258112,SRR28690265
jurkat_sgRNA_5_1_L004,SRX24258113,SRR28690264
jurkat_mRNA_5_2_L001,SRX24258114,SRR28690263
jurkat_sgRNA_5_2_L001,SRX24258115,SRR28690262
jurkat_mRNA_5_2_L002,SRX24258116,SRR28690261
